"N03_007",,,"総数","300万円未満","300～500","500～700","700～1000","1000万円以上"
"03381",,"金ケ崎町","4,920","1,740","1,420","730","760","240"
"03461",,"大槌町","4,610","2,340","1,340","520","180","150"
"03482",,"山田町","5,710","3,450","1,460","550","180","70"
"03507",,"洋野町","5,730","3,170","1,580","700","200","80"
"04100",,"仙台市","504,690","165,230","117,220","65,680","45,720","23,730"
"04101",,"青葉区","165,740","58,320","31,330","18,280","13,370","8,250"
"04102",,"宮城野区","86,840","32,520","24,690","13,910","8,960","2,790"
"04103",,"若林区","60,250","19,570","15,080","7,410","4,480","2,800"
"04104",,"太白区","102,040","30,490","23,270","13,430","8,110","4,390"
"04105",,"泉区","89,820","24,330","22,850","12,650","10,800","5,500"
"04202",,"石巻市","54,070","24,290","15,000","7,420","4,220","1,920"
"04203",,"塩竃市","20,780","8,900","5,800","3,000","1,730","770"
"04205",,"気仙沼市","23,600","11,030","6,200","3,470","1,840","540"
"04206",,"白石市","12,710","5,280","3,750","1,930","1,040","620"
"04207",,"名取市","25,960","6,130","7,460","4,890","3,690","1,810"
"04208",,"角田市","9,750","3,820","2,640","1,580","930","540"
"04209",,"多賀城市","24,630","7,800","7,530","4,000","2,720","900"
"04211",,"岩沼市","15,950","5,470","4,870","2,670","1,890","670"
"04212",,"登米市","24,640","10,240","7,010","3,640","2,350","1,200"
"04213",,"栗原市","22,450","8,860","6,600","3,530","2,140","1,000"
"04214",,"東松島市","13,810","5,330","4,200","2,170","1,310","580"
"04215",,"大崎市","45,810","17,820","14,340","6,860","3,830","2,490"
"04321",,"大河原町","8,860","3,430","2,740","1,330","580","360"
"04323",,"柴田町","15,080","5,810","3,860","2,000","1,210","680"
"04341",,"丸森町","4,530","1,840","1,320","720","440","190"
"04361",,"亘理町","10,540","3,610","3,200","1,990","1,180","560"
"04362",,"山元町","4,350","1,980","1,270","590","320","130"
"04401",,"松島町","4,550","1,760","1,260","740","530","210"
"04404",,"七ケ浜町","5,940","1,580","1,980","1,290","610","380"
"04406",,"利府町","11,740","3,190","3,660","2,370","1,620","650"
"04421",,"大和町","8,970","1,820","3,340","1,850","1,070","400"
"04423",,"富谷町","16,550","3,690","5,030","3,680","2,440","1,360"
"04445",,"加美町","7,540","2,730","2,320","910","620","530"
"04501",,"涌谷町","5,230","2,080","1,880","580","500","190"
"04505",,"美里町","8,460","3,590","2,550","1,030","860","410"
"04606",,"南三陸町","4,900","2,590","1,070","660","330","210"
"05201",,"秋田市","138,620","56,980","35,060","20,850","11,920","4,990"
"05202",,"能代市","22,410","11,660","6,190","2,350","1,340","710"
"05203",,"横手市","32,090","13,980","9,030","4,500","2,790","1,220"
"05204",,"大館市","27,880","12,950","7,250","3,750","2,260","940"
"05206",,"男鹿市","11,370","6,340","2,920","1,170","500","290"
"05207",,"湯沢市","16,450","7,850","4,830","2,000","1,150","490"
"05209",,"鹿角市","11,710","5,770","3,380","1,360","790","360"
"05210",,"由利本荘市","26,860","11,680","7,280","3,920","2,330","1,090"
"05211",,"潟上市","12,210","5,800","3,470","1,500","810","400"
"05212",,"大仙市","27,120","11,110","8,070","4,150","2,450","1,120"
"05213",,"北秋田市","12,170","6,000","3,240","1,450","900","400"
"05214",,"にかほ市","8,760","3,100","2,830","1,430","960","410"
"05215",,"仙北市","9,270","4,390","2,850","1,090","490","450"
"05348",,"三種町","6,290","3,070","1,680","830","410","270"
"05434",,"美郷町","6,360","2,720","1,940","870","550","280"
"05463",,"羽後町","4,680","1,780","1,480","750","490","180"
"06201",,"山形市","99,500","34,220","26,850","16,130","10,180","5,340"
"06202",,"米沢市","32,730","12,000","8,640","4,270","2,970","1,620"
"06203",,"鶴岡市","41,340","15,110","11,870","6,460","3,930","2,530"
"06204",,"酒田市","37,720","15,220","11,090","5,630","3,420","1,610"
"06205",,"新庄市","12,210","4,870","3,410","1,750","1,060","690"
"06206",,"寒河江市","12,780","4,070","4,120","2,240","1,470","740"
"06207",,"上山市","10,710","4,140","3,100","1,680","1,050","610"
"06208",,"村山市","7,610","2,810","2,200","1,210","920","470"
"06209",,"長井市","9,250","3,370","2,430","1,550","1,130","730"
"06210",,"天童市","20,450","7,200","6,320","3,410","1,860","1,150"
"06211",,"東根市","14,440","4,490","4,600","2,820","1,600","670"
"06212",,"尾花沢市","5,080","1,950","1,590","750","470","290"
"06213",,"南陽市","10,460","3,860","3,120","1,620","1,150","620"
"06301",,"山辺町","4,500","1,630","1,000","1,060","450","330"
"06321",,"河北町","5,790","1,840","1,710","1,080","860","300"
"06381",,"高畠町","7,090","2,560","1,970","1,240","780","520"
"06382",,"川西町","4,780","1,630","1,320","920","620","230"
"06402",,"白鷹町","4,630","1,670","1,240","840","530","310"
"06428",,"庄内町","6,410","1,990","1,930","1,160","900","430"
"06461",,"遊佐町","4,640","2,060","1,020","800","480","270"
"07201",,"福島市","115,380","45,860","32,500","16,710","10,770","6,020"
"07202",,"会津若松市","47,260","20,570","12,620","6,500","4,010","2,120"
"07203",,"郡山市","133,530","49,890","35,270","18,430","11,750","6,120"
"07204",,"いわき市","123,800","46,970","34,910","18,510","10,660","5,290"
"07205",,"白河市","22,310","9,180","5,850","3,410","2,370","1,020"
"07207",,"須賀川市","25,340","8,660","7,570","4,570","2,860","1,380"
"07208",,"喜多方市","17,020","7,040","4,740","2,500","1,620","800"
"07209",,"相馬市","12,980","4,690","4,170","2,180","1,180","590"
"07210",,"二本松市","18,000","7,140","4,960","2,810","1,960","1,050"
"07211",,"田村市","11,530","4,720","3,190","1,810","1,130","540"
"07212",,"南相馬市","22,260","9,160","6,710","3,100","1,760","920"
"07213",,"伊達市","20,980","8,530","5,950","3,390","2,160","680"
"07214",,"本宮市","9,720","3,190","3,020","1,860","900","610"
"07308",,"川俣町","5,020","2,230","1,310","760","470","200"
"07368",,"南会津町","6,000","2,670","1,650","840","680","150"
"07408",,"猪苗代町","4,720","1,740","1,280","660","660","380"
"07421",,"会津坂下町","5,210","1,920","1,210","940","560","490"
"07447",,"会津美里町","6,870","2,880","1,950","930","710","340"
"07461",,"西郷村","6,200","2,510","1,720","1,070","510","360"
"07466",,"矢吹町","6,030","2,410","1,890","730","610","330"
"07481",,"棚倉町","4,430","1,870","850","650","690","330"
"07501",,"石川町","5,010","1,650","1,830","880","440","200"
"07521",,"三春町","5,730","2,080","1,860","880","610","260"
"08201",,"水戸市","115,130","41,140","30,650","17,230","11,460","6,400"
"08202",,"日立市","76,520","29,020","19,780","11,550","8,720","4,480"
"08203",,"土浦市","56,320","20,710","15,720","8,700","6,080","3,190"
"08204",,"古河市","50,480","16,150","14,850","8,330","5,520","2,670"
"08205",,"石岡市","26,540","9,700","7,600","4,380","2,620","1,350"
"08207",,"結城市","17,180","5,850","4,910","2,950","2,110","1,050"
"08208",,"龍ケ崎市","30,810","10,150","8,360","4,860","4,050","1,820"
"08210",,"下妻市","14,540","5,230","4,310","2,340","1,600","900"
"08211",,"常総市","19,470","6,190","5,770","3,550","2,280","1,440"
"08212",,"常陸太田市","18,990","7,230","5,260","3,090","2,320","1,010"
"08214",,"高萩市","11,240","4,580","3,280","1,710","980","430"
"08215",,"北茨城市","16,510","6,870","4,650","2,470","1,610","750"
"08216",,"笠間市","27,150","9,860","7,910","3,810","3,420","1,260"
"08217",,"取手市","42,010","13,770","12,010","6,820","4,960","2,540"
"08219",,"牛久市","32,320","8,540","8,800","5,840","4,770","2,200"
"08220",,"つくば市","90,150","26,210","22,070","14,980","14,650","6,410"
"08221",,"ひたちなか市","60,360","18,970","17,740","10,010","7,590","3,760"
"08222",,"鹿嶋市","24,120","8,150","6,250","3,630","2,500","1,400"
"08223",,"潮来市","10,020","3,610","3,080","1,700","1,090","410"
"08224",,"守谷市","23,420","4,230","6,830","4,830","4,220","2,670"
"08225",,"常陸大宮市","15,410","6,690","4,200","2,370","1,310","740"
"08226",,"那珂市","18,690","6,550","5,270","3,110","2,490","1,260"
"08227",,"筑西市","35,470","11,770","10,590","5,880","3,570","1,820"
"08228",,"坂東市","17,000","5,160","5,190","3,060","1,910","1,170"
"08229",,"稲敷市","14,640","5,500","4,090","2,400","1,690","940"
"08230",,"かすみがうら市","14,380","4,730","4,490","2,480","1,640","980"
"08231",,"桜川市","13,180","4,400","3,630","2,430","1,640","880"
"08232",,"神栖市","33,000","9,480","9,470","5,560","4,110","1,980"
"08233",,"行方市","10,370","3,530","2,920","1,730","1,330","830"
"08234",,"鉾田市","15,320","6,130","3,970","2,200","1,550","1,180"
"08235",,"つくばみらい市","16,820","4,590","4,970","3,430","2,310","1,050"
"08236",,"小美玉市","16,410","5,400","4,770","3,130","1,680","800"
"08302",,"茨城町","10,690","4,180","3,140","2,050","880","400"
"08309",,"大洗町","6,230","2,780","1,510","880","680","320"
"08310",,"城里町","7,500","3,120","2,040","1,220","770","300"
"08341",,"東海村","13,480","3,350","3,720","2,910","2,260","980"
"08364",,"大子町","6,710","3,420","1,730","860","470","240"
"08442",,"美浦村","6,190","2,480","1,380","1,280","680","340"
"08443",,"阿見町","17,690","5,950","4,750","2,790","2,280","1,140"
"08521",,"八千代町","6,410","2,070","1,910","1,050","820","570"
"08546",,"境町","7,870","2,300","2,590","1,340","900","500"
"08564",,"利根町","6,110","2,070","2,090","970","590","390"
"09201",,"宇都宮市","210,280","64,260","54,030","37,270","26,760","13,310"
"09202",,"足利市","58,130","24,310","16,680","8,930","4,570","2,260"
"09203",,"栃木市","48,780","16,330","14,640","8,460","5,300","2,920"
"09204",,"佐野市","44,480","16,780","12,650","7,030","4,920","2,120"
"09205",,"鹿沼市","33,970","11,490","9,570","6,330","3,910","2,280"
"09206",,"日光市","31,830","12,630","8,490","5,010","3,240","1,720"
"09208",,"小山市","62,040","20,940","16,810","10,580","7,500","3,510"
"09209",,"真岡市","26,610","8,110","7,530","4,760","3,710","2,050"
"09210",,"大田原市","26,640","9,970","6,890","4,210","2,930","1,820"
"09211",,"矢板市","11,800","3,800","3,240","1,890","1,550","710"
"09213",,"那須塩原市","43,640","14,870","13,030","7,110","4,790","2,520"
"09214",,"さくら市","14,410","3,870","4,260","2,360","1,840","780"
"09215",,"那須烏山市","9,470","3,970","2,230","1,730","900","510"
"09216",,"下野市","21,490","6,110","5,970","3,410","3,030","2,050"
"09301",,"上三川町","9,410","2,350","2,570","2,090","1,620","690"
"09342",,"益子町","7,720","2,360","2,550","1,420","800","530"
"09343",,"茂木町","4,910","2,430","1,010","760","440","260"
"09345",,"芳賀町","4,760","1,330","1,510","1,090","450","350"
"09361",,"壬生町","14,800","5,270","4,110","2,020","1,720","1,010"
"09364",,"野木町","9,610","3,140","2,710","1,710","1,200","740"
"09367",,"岩舟町","5,970","2,360","1,600","960","700","310"
"09386",,"高根沢町","10,620","2,440","3,400","2,020","1,720","660"
"09407",,"那須町","8,380","3,030","2,820","1,200","800","270"
"09411",,"那珂川町","5,570","2,000","1,740","800","630","400"
"10201",,"前橋市","131,960","49,230","35,210","19,450","13,420","7,880"
"10202",,"高崎市","151,480","55,280","42,830","24,570","14,560","8,000"
"10203",,"桐生市","45,580","20,950","12,280","5,470","3,620","2,240"
"10204",,"伊勢崎市","77,370","26,540","23,630","12,710","7,650","3,710"
"10205",,"太田市","80,400","28,520","23,080","13,390","8,290","3,960"
"10206",,"沼田市","18,990","8,230","5,650","2,710","1,590","670"
"10207",,"館林市","29,390","10,290","8,310","4,960","2,910","1,500"
"10208",,"渋川市","28,330","11,840","7,450","4,170","2,770","1,200"
"10209",,"藤岡市","24,080","8,830","6,950","4,170","2,650","960"
"10210",,"富岡市","16,650","6,240","4,810","2,560","1,580","950"
"10211",,"安中市","22,100","8,820","5,920","3,530","2,020","1,030"
"10212",,"みどり市","18,890","7,000","5,610","3,360","1,890","720"
"10345",,"吉岡町","7,130","2,000","2,330","1,140","900","410"
"10421",,"中之条町","6,510","2,510","1,830","1,130","700","180"
"10429",,"東吾妻町","5,190","1,920","1,520","780","610","350"
"10449",,"みなかみ町","7,510","3,750","1,920","850","650","310"
"10464",,"玉村町","13,810","4,330","4,160","2,560","1,460","470"
"10521",,"板倉町","4,850","1,530","1,420","880","740","290"
"10524",,"大泉町","15,410","5,680","4,720","2,760","1,390","540"
"10525",,"邑楽町","9,420","3,490","2,710","1,470","1,210","410"
"11100",,"さいたま市","513,530","139,280","134,580","90,700","73,860","45,070"
"11101",,"西区","32,160","9,030","9,760","6,430","3,840","1,900"
"11102",,"北区","60,830","16,160","15,880","12,070","9,260","4,620"
"11103",,"大宮区","48,430","11,820","12,180","8,340","8,380","4,730"
"11104",,"見沼区","64,450","20,070","17,520","11,410","7,620","4,470"
"11105",,"中央区","42,100","9,870","11,530","7,840","6,570","4,650"
"11106",,"桜区","43,590","15,380","10,500","6,640","4,520","2,460"
"11107",,"浦和区","64,490","15,420","14,600","10,090","10,280","9,100"
"11108",,"南区","72,700","16,230","19,380","14,110","11,980","7,480"
"11109",,"緑区","42,770","10,360","10,810","7,180","7,180","3,520"
"11110",,"岩槻区","42,000","14,930","12,420","6,600","4,230","2,160"
"11201",,"川越市","141,790","45,020","38,870","25,090","15,120","7,730"
"11202",,"熊谷市","76,130","26,350","21,470","12,700","8,250","3,970"
"11203",,"川口市","244,280","58,860","54,280","33,090","23,250","14,790"
"11206",,"行田市","30,800","10,470","9,050","5,060","3,360","1,350"
"11207",,"秩父市","24,040","10,370","6,550","3,500","1,940","1,000"
"11208",,"所沢市","145,190","40,560","38,460","24,630","18,550","8,800"
"11209",,"飯能市","30,290","9,980","8,130","4,960","3,430","2,110"
"11210",,"加須市","40,140","12,340","12,040","6,850","5,210","2,060"
"11211",,"本庄市","33,080","12,010","9,570","5,360","3,320","1,210"
"11212",,"東松山市","36,330","11,880","10,370","5,600","3,840","1,990"
"11214",,"春日部市","93,870","30,870","25,930","13,440","9,010","5,140"
"11215",,"狭山市","61,780","16,720","16,080","9,280","6,640","3,750"
"11216",,"羽生市","19,610","6,750","5,590","3,500","2,240","950"
"11217",,"鴻巣市","45,240","13,820","13,210","8,160","5,640","3,040"
"11218",,"深谷市","52,040","16,050","14,700","9,000","6,380","2,820"
"11219",,"上尾市","88,300","26,490","27,260","14,880","9,910","5,540"
"11221",,"草加市","103,920","34,250","29,700","17,830","10,010","5,370"
"11222",,"越谷市","131,800","40,240","36,840","23,790","16,870","8,280"
"11223",,"蕨市","32,980","11,720","8,240","4,440","3,070","2,110"
"11224",,"戸田市","55,640","14,450","14,410","11,480","6,980","4,400"
"11225",,"入間市","57,640","15,770","15,090","9,420","6,870","3,620"
"11227",,"朝霞市","60,080","11,450","11,420","8,850","6,310","3,870"
"11228",,"志木市","29,620","7,550","6,560","4,940","3,590","2,050"
"11229",,"和光市","38,350","8,200","9,630","6,940","5,870","2,230"
"11230",,"新座市","65,890","19,900","19,690","11,900","7,420","3,290"
"11231",,"桶川市","28,540","8,650","8,070","5,610","3,460","1,720"
"11232",,"久喜市","58,500","19,980","14,590","9,870","7,540","3,840"
"11233",,"北本市","26,070","8,520","7,730","4,290","2,460","1,840"
"11234",,"八潮市","33,760","9,180","10,050","5,610","2,910","1,270"
"11235",,"富士見市","46,340","15,810","11,690","7,470","4,920","2,420"
"11237",,"三郷市","53,280","18,260","16,390","8,430","5,550","3,310"
"11238",,"蓮田市","23,500","6,840","6,930","4,090","3,040","1,670"
"11239",,"坂戸市","44,170","14,560","10,780","5,870","3,610","1,670"
"11240",,"幸手市","20,600","7,710","5,510","3,150","2,040","1,070"
"11241",,"鶴ヶ島市","29,130","10,320","9,520","4,340","2,460","1,890"
"11242",,"日高市","21,010","6,690","6,180","3,940","2,620","950"
"11243",,"吉川市","24,430","7,330","7,130","4,510","3,200","1,590"
"11245",,"ふじみ野市","43,200","14,260","12,000","7,370","5,020","2,350"
"11246",,"白岡市","18,250","4,760","5,120","3,360","2,480","1,590"
"11301",,"伊奈町","16,670","4,070","4,820","2,950","2,190","920"
"11324",,"三芳町","13,580","4,300","3,970","2,910","1,420","810"
"11326",,"毛呂山町","16,010","7,100","4,200","2,380","1,350","770"
"11341",,"滑川町","6,840","1,810","1,770","1,290","1,110","380"
"11342",,"嵐山町","6,820","2,650","1,590","1,030","850","390"
"11343",,"小川町","11,500","3,930","3,050","1,690","1,940","710"
"11346",,"川島町","7,310","2,490","2,020","1,160","1,090","520"
"11347",,"吉見町","6,560","1,660","2,210","1,050","1,010","450"
"11348",,"鳩山町","5,340","1,760","1,520","880","790","390"
"11385",,"上里町","10,850","3,520","3,100","1,940","1,460","450"
"11408",,"寄居町","12,700","3,960","4,150","1,830","1,010","620"
"11442",,"宮代町","13,280","5,090","4,210","1,940","1,320","670"
"11464",,"杉戸町","17,060","5,750","4,960","3,330","1,940","1,020"
"11465",,"松伏町","10,990","3,460","3,010","1,900","1,350","450"
"12100",,"千葉市","402,540","113,870","113,010","63,900","50,160","30,420"
"12101",,"中央区","92,510","29,580","25,190","13,750","10,020","6,650"
"12102",,"花見川区","78,600","23,370","25,190","13,390","9,070","4,870"
"12103",,"稲毛区","65,970","19,830","19,090","10,840","8,990","4,740"
"12104",,"若葉区","57,850","15,650","16,360","8,860","6,480","3,560"
"12105",,"緑区","44,000","9,140","12,430","8,670","7,780","4,650"
"12106",,"美浜区","63,600","16,300","14,750","8,390","7,810","5,950"
"12202",,"銚子市","25,560","10,770","6,530","3,370","2,350","1,420"
"12203",,"市川市","220,940","55,800","64,810","37,220","31,350","16,790"
"12204",,"船橋市","267,200","67,600","63,190","40,010","31,260","17,630"
"12205",,"館山市","19,630","8,670","5,830","2,380","1,490","710"
"12206",,"木更津市","50,600","14,830","14,340","9,440","5,920","2,970"
"12207",,"松戸市","210,280","66,980","57,310","33,460","23,680","15,350"
"12208",,"野田市","59,120","20,030","17,550","9,360","6,240","3,610"
"12210",,"茂原市","35,640","12,560","9,470","5,220","3,610","1,930"
"12211",,"成田市","51,970","15,180","15,080","8,620","5,610","3,300"
"12212",,"佐倉市","67,930","18,210","19,640","13,560","7,830","6,230"
"12213",,"東金市","23,720","9,530","6,550","3,400","2,010","1,240"
"12215",,"旭市","22,020","8,760","5,690","3,610","2,410","1,440"
"12216",,"習志野市","71,190","18,510","18,270","13,060","10,290","5,840"
"12217",,"柏市","165,890","42,540","46,140","27,370","22,410","11,530"
"12218",,"勝浦市","8,620","4,890","1,880","830","460","280"
"12219",,"市原市","110,480","34,620","31,100","18,210","12,380","5,690"
"12220",,"流山市","65,530","15,790","18,810","13,140","9,830","5,120"
"12221",,"八千代市","73,970","19,130","19,350","11,650","9,530","5,940"
"12222",,"我孫子市","53,390","15,130","15,950","9,350","7,140","4,060"
"12223",,"鴨川市","14,410","5,800","3,920","1,910","1,140","610"
"12224",,"鎌ケ谷市","42,250","13,590","12,900","7,520","4,810","2,250"
"12225",,"君津市","34,560","10,840","10,020","5,970","3,740","2,040"
"12226",,"富津市","16,350","6,200","4,510","2,600","1,760","890"
"12227",,"浦安市","71,890","15,770","14,460","10,510","9,940","9,570"
"12228",,"四街道市","33,710","7,860","9,470","6,250","4,170","2,200"
"12229",,"袖ヶ浦市","22,400","5,950","7,210","4,030","2,970","1,630"
"12230",,"八街市","25,680","9,110","8,230","4,030","2,750","1,270"
"12231",,"印西市","32,310","7,440","8,650","5,660","6,140","3,600"
"12232",,"白井市","21,930","4,710","6,340","4,800","3,640","2,220"
"12233",,"富里市","19,550","6,730","5,540","2,700","1,830","1,080"
"12234",,"南房総市","15,090","7,170","4,040","1,890","1,310","670"
"12235",,"匝瑳市","12,650","4,850","3,730","1,900","1,180","780"
"12236",,"香取市","26,800","9,460","7,690","4,350","3,140","1,840"
"12237",,"山武市","18,920","7,130","5,080","3,000","2,130","1,210"
"12238",,"いすみ市","14,520","6,470","4,030","2,000","1,300","500"
"12239",,"大網白里市","18,830","6,610","5,180","2,880","2,340","1,370"
"12322",,"酒々井町","8,780","3,540","2,220","1,110","940","410"
"12329",,"栄町","8,000","2,380","2,300","1,480","1,220","590"
"12347",,"多古町","4,350","1,270","1,250","590","650","430"
"12349",,"東庄町","4,610","1,940","950","740","610","330"
"12403",,"九十九里町","6,390","2,790","2,060","720","470","280"
"12410",,"横芝光町","8,260","3,270","2,320","1,290","840","410"
"13100",,"特別区部","4,613,570","1,336,500","1,105,980","664,560","521,910","439,290"
"13101",,"千代田区","27,590","3,540","5,290","5,950","4,910","6,170"
"13102",,"中央区","76,170","13,750","17,490","13,430","12,460","15,320"
"13103",,"港区","111,380","18,700","19,050","15,420","19,660","26,310"
"13104",,"新宿区","195,350","57,820","43,440","27,350","21,100","21,120"
