"N03_007",,,"総数","300万円未満","300～500","500～700","700～1000","1000万円以上"
"13117",,"北区","174,040","60,710","41,160","20,710","17,880","12,000"
"13118",,"荒川区","97,750","31,790","24,930","14,630","12,810","7,120"
"13119",,"板橋区","269,370","90,670","63,540","35,470","22,860","15,050"
"13120",,"練馬区","343,890","98,350","80,610","49,000","39,160","28,280"
"13121",,"足立区","326,480","121,080","83,460","44,400","28,680","14,020"
"13122",,"葛飾区","198,420","67,540","48,970","31,730","21,100","12,700"
"13123",,"江戸川区","307,820","89,960","79,220","52,770","34,770","17,160"
"13201",,"八王子市","251,630","89,370","63,880","36,180","28,250","17,280"
"13202",,"立川市","74,780","15,700","12,230","7,960","6,060","3,910"
"13203",,"武蔵野市","70,940","17,930","18,070","9,470","8,650","8,520"
"13204",,"三鷹市","86,740","24,890","19,960","13,870","10,840","8,800"
"13205",,"青梅市","49,850","16,800","14,160","7,650","5,850","2,790"
"13206",,"府中市","113,650","34,690","28,860","19,070","16,110","9,100"
"13207",,"昭島市","47,560","16,750","13,200","7,200","5,800","2,580"
"13208",,"調布市","108,190","34,550","27,020","16,260","13,310","8,720"
"13209",,"町田市","206,920","62,550","50,540","30,360","23,700","17,090"
"13210",,"小金井市","57,150","12,080","10,570","6,840","5,910","5,200"
"13211",,"小平市","81,900","24,540","21,820","11,170","11,480","6,420"
"13212",,"日野市","79,080","25,280","20,680","13,290","10,240","6,520"
"13213",,"東村山市","64,860","17,820","14,400","9,310","7,110","3,360"
"13214",,"国分寺市","61,750","16,670","14,290","7,800","7,380","6,570"
"13215",,"国立市","36,140","11,280","8,270","5,200","4,210","3,380"
"13218",,"福生市","26,240","8,900","7,100","4,080","2,660","1,310"
"13219",,"狛江市","39,570","13,880","10,070","5,100","4,240","2,790"
"13220",,"東大和市","34,420","10,160","7,760","4,940","3,570","2,070"
"13221",,"清瀬市","32,900","10,760","6,880","4,140","2,810","1,610"
"13222",,"東久留米市","49,730","16,810","13,450","7,500","6,100","2,940"
"13223",,"武蔵村山市","26,700","9,070","7,530","3,810","2,290","1,170"
"13224",,"多摩市","66,580","21,000","19,910","10,140","7,850","4,960"
"13225",,"稲城市","35,850","8,690","9,470","6,810","5,230","3,930"
"13227",,"羽村市","23,450","7,510","6,840","3,830","2,670","1,490"
"13228",,"あきる野市","29,840","8,570","9,850","5,280","3,530","1,480"
"13229",,"西東京市","87,510","26,840","22,150","12,880","10,940","7,120"
"13303",,"瑞穂町","12,850","3,920","3,720","2,420","1,420","640"
"13305",,"日の出町","5,560","1,640","1,800","1,240","530","320"
"14100",,"横浜市","1,588,170","413,790","422,540","282,980","232,160","159,950"
"14101",,"鶴見区","125,500","34,310","32,660","22,560","17,910","9,460"
"14102",,"神奈川区","113,560","33,810","30,980","16,980","15,050","9,110"
"14103",,"西区","50,880","12,580","13,280","8,610","7,560","4,710"
"14104",,"中区","70,550","20,230","18,260","10,640","10,420","7,710"
"14105",,"南区","91,170","30,600","25,280","14,550","10,520","4,800"
"14106",,"保土ケ谷区","90,040","28,300","25,800","14,490","10,080","7,610"
"14107",,"磯子区","70,740","20,810","20,350","12,240","9,380","5,850"
"14108",,"金沢区","86,040","20,420","22,330","15,560","12,090","8,550"
"14109",,"港北区","160,910","37,240","41,060","28,990","24,550","16,950"
"14110",,"戸塚区","110,130","27,970","28,690","20,790","17,510","11,690"
"14111",,"港南区","91,230","23,100","26,880","17,140","13,750","8,150"
"14112",,"旭区","99,980","27,030","30,040","18,110","13,540","7,900"
"14113",,"緑区","72,060","19,070","20,030","14,460","10,660","6,190"
"14114",,"瀬谷区","49,850","15,940","13,860","9,180","6,640","3,030"
"14115",,"栄区","48,270","12,290","13,450","9,990","6,630","4,440"
"14116",,"泉区","59,360","16,590","16,010","11,200","8,880","5,650"
"14117",,"青葉区","119,420","21,110","25,360","22,020","21,490","24,610"
"14118",,"都筑区","78,490","12,390","18,220","15,460","15,490","13,540"
"14130",,"川崎市","673,480","183,960","169,280","117,070","92,690","61,560"
"14131",,"川崎区","105,340","34,310","29,650","16,140","9,870","5,330"
"14132",,"幸区","71,880","21,770","18,520","12,200","9,140","6,490"
"14133",,"中原区","117,670","26,790","25,740","21,800","16,650","14,710"
"14134",,"高津区","103,990","28,240","27,150","19,100","14,680","8,720"
"14135",,"多摩区","106,200","30,850","28,890","19,150","13,940","6,380"
"14136",,"宮前区","93,500","23,980","20,930","17,130","15,680","9,280"
"14137",,"麻生区","74,890","18,020","18,400","11,550","12,730","10,660"
"14150",,"相模原市","300,890","84,730","76,460","49,640","34,900","16,420"
"14151",,"緑区","69,500","20,440","18,480","11,830","8,470","4,020"
"14152",,"中央区","111,240","32,700","28,600","17,180","12,790","5,310"
"14153",,"南区","120,150","31,590","29,380","20,640","13,640","7,090"
"14201",,"横須賀市","167,820","55,810","47,420","26,910","18,800","8,510"
"14203",,"平塚市","102,860","32,550","28,920","17,840","12,250","6,060"
"14204",,"鎌倉市","71,980","17,110","18,700","12,230","11,070","9,120"
"14205",,"藤沢市","175,510","45,680","48,680","31,900","24,390","14,930"
"14206",,"小田原市","77,950","24,540","21,020","14,050","9,050","5,010"
"14207",,"茅ケ崎市","93,720","24,290","24,420","16,310","13,620","7,000"
"14208",,"逗子市","23,840","6,490","6,120","4,020","3,980","2,660"
"14210",,"三浦市","18,320","6,800","5,170","2,950","1,920","1,010"
"14211",,"秦野市","67,490","23,170","17,660","11,310","7,940","4,260"
"14212",,"厚木市","91,680","27,530","26,950","16,810","10,210","5,620"
"14213",,"大和市","100,030","28,850","29,210","17,500","11,900","5,700"
"14214",,"伊勢原市","39,470","12,260","11,820","6,610","4,670","2,870"
"14215",,"海老名市","52,380","15,140","14,170","10,140","7,440","3,810"
"14216",,"座間市","53,890","16,130","15,820","9,260","5,870","2,740"
"14217",,"南足柄市","15,530","4,440","4,610","2,760","2,170","1,290"
"14218",,"綾瀬市","32,000","9,040","9,970","5,710","3,590","1,800"
"14301",,"葉山町","12,690","3,180","2,980","2,520","2,190","1,490"
"14321",,"寒川町","17,840","4,870","5,860","3,250","2,000","940"
"14341",,"大磯町","12,110","3,430","3,340","2,340","1,620","1,080"
"14342",,"二宮町","11,300","3,310","2,900","1,820","1,670","910"
"14362",,"大井町","6,460","1,850","2,280","990","850","400"
"14366",,"開成町","6,120","1,590","2,000","1,050","860","430"
"14384",,"湯河原町","10,920","4,610","3,170","1,380","1,120","390"
"14401",,"愛川町","15,900","5,380","4,890","2,440","1,520","430"
"15100",,"新潟市","321,980","111,360","88,680","50,850","33,060","17,440"
"15101",,"北区","27,170","9,670","7,160","4,420","2,320","1,220"
"15102",,"東区","58,300","20,420","17,640","9,210","4,880","2,370"
"15103",,"中央区","87,360","32,190","22,100","12,870","8,980","5,280"
"15104",,"江南区","22,910","7,650","6,600","3,870","2,490","1,030"
"15105",,"秋葉区","26,140","8,480","8,140","4,190","2,970","1,390"
"15106",,"南区","14,650","4,420","4,570","2,530","1,790","980"
"15107",,"西区","66,140","22,910","16,820","9,610","7,380","3,810"
"15108",,"西蒲区","19,300","5,600","5,640","4,140","2,240","1,360"
"15202",,"長岡市","98,130","31,710","29,840","16,660","11,250","5,900"
"15204",,"三条市","32,710","10,560","9,500","5,760","3,970","2,190"
"15205",,"柏崎市","32,710","10,150","9,370","5,850","4,080","1,960"
"15206",,"新発田市","32,990","12,510","9,360","5,310","3,530","1,490"
"15208",,"小千谷市","11,620","3,430","3,660","2,110","1,340","940"
"15209",,"加茂市","9,410","3,250","2,600","1,760","1,190","550"
"15210",,"十日町市","18,320","6,640","5,400","3,030","2,080","1,020"
"15211",,"見附市","12,890","3,360","4,160","2,520","1,740","930"
"15212",,"村上市","21,460","9,210","6,180","3,030","1,980","930"
"15213",,"燕市","26,580","8,010","8,120","4,530","3,070","2,050"
"15216",,"糸魚川市","16,590","6,100","4,740","2,880","1,960","740"
"15217",,"妙高市","11,300","3,660","3,250","2,070","1,370","740"
"15218",,"五泉市","16,150","5,880","4,950","2,680","1,720","840"
"15222",,"上越市","70,500","23,390","21,170","12,480","8,340","4,180"
"15223",,"阿賀野市","12,890","3,940","3,640","2,140","1,440","770"
"15224",,"佐渡市","22,630","10,940","6,040","2,920","1,730","800"
"15225",,"魚沼市","12,480","4,500","3,580","2,260","1,460","690"
"15226",,"南魚沼市","18,780","6,370","5,570","3,050","2,250","1,200"
"15227",,"胎内市","9,970","3,580","3,130","1,510","1,140","570"
"16201",,"富山市","160,910","50,200","42,940","29,550","19,120","10,730"
"16202",,"高岡市","61,990","19,360","18,000","10,390","6,970","4,390"
"16204",,"魚津市","16,500","5,290","4,370","2,890","1,900","1,130"
"16205",,"氷見市","15,790","4,990","4,500","2,990","2,230","990"
"16206",,"滑川市","10,980","2,870","3,360","2,240","1,580","880"
"16207",,"黒部市","14,220","4,240","4,150","2,550","1,830","1,120"
"16208",,"砺波市","15,200","3,630","4,430","3,070","2,500","1,310"
"16209",,"小矢部市","8,470","2,190","2,230","1,740","1,300","990"
"16210",,"南砺市","16,400","5,000","4,850","3,100","1,980","1,400"
"16211",,"射水市","31,080","9,160","9,070","5,530","3,690","1,920"
"16322",,"上市町","7,150","2,130","2,070","1,350","1,020","600"
"16323",,"立山町","8,500","2,440","2,360","2,010","1,180","510"
"16342",,"入善町","8,140","1,830","2,340","1,820","1,320","840"
"17201",,"金沢市","194,940","68,340","48,610","29,950","17,830","11,290"
"17202",,"七尾市","20,010","8,510","5,060","3,210","1,910","990"
"17203",,"小松市","36,680","10,620","10,410","6,780","4,890","2,920"
"17204",,"輪島市","10,870","5,950","2,870","1,020","640","350"
"17205",,"珠洲市","5,900","3,030","1,390","750","510","210"
"17206",,"加賀市","25,760","10,110","6,840","3,800","2,290","1,330"
"17207",,"羽咋市","7,730","2,650","2,150","1,300","960","620"
"17209",,"かほく市","11,190","3,470","3,320","2,110","1,420","770"
"17210",,"白山市","36,570","9,150","11,020","7,250","5,110","2,790"
"17211",,"能美市","15,980","4,010","4,630","3,840","2,110","1,240"
"17212",,"野々市市","24,300","8,290","5,620","3,290","2,330","1,360"
"17361",,"津幡町","12,010","2,920","3,310","2,720","1,790","960"
"17365",,"内灘町","9,580","2,570","2,430","1,570","1,290","590"
"17384",,"志賀町","6,770","2,480","1,830","1,090","840","440"
"17407",,"中能登町","6,420","2,480","1,870","920","730","330"
"17463",,"能登町","7,150","3,690","1,690","750","620","400"
"18201",,"福井市","93,280","30,310","25,950","15,380","12,010","7,270"
"18202",,"敦賀市","26,170","7,830","7,860","4,770","2,970","1,230"
"18204",,"小浜市","10,990","3,930","3,090","1,700","1,310","620"
"18205",,"大野市","9,890","3,190","2,790","1,720","1,380","750"
"18206",,"勝山市","7,440","2,490","2,020","1,310","990","620"
"18207",,"鯖江市","20,770","6,010","6,330","3,580","2,970","1,440"
"18208",,"あわら市","9,710","3,070","2,390","1,700","1,440","870"
"18209",,"越前市","28,060","8,370","8,200","5,000","3,970","2,210"
"18210",,"坂井市","27,080","6,970","7,760","5,800","4,030","2,190"
"18322",,"永平寺町","6,910","2,780","1,550","990","1,000","480"
"18423",,"越前町","6,570","1,910","1,830","1,200","990","630"
"18501",,"若狭町","4,750","1,250","1,370","880","790","460"
"19201",,"甲府市","84,960","33,180","18,840","10,280","7,050","3,760"
"19202",,"富士吉田市","17,580","6,650","4,670","2,810","1,400","1,040"
"19204",,"都留市","13,770","5,790","3,440","1,890","1,080","610"
"19205",,"山梨市","13,220","5,140","3,940","2,070","1,280","660"
"19206",,"大月市","10,120","4,580","2,630","1,400","990","450"
"19207",,"韮崎市","11,350","4,430","3,240","1,870","1,200","520"
"19208",,"南アルプス市","24,770","8,800","7,150","4,780","2,680","1,100"
"19209",,"北杜市","18,250","7,770","5,470","2,320","1,550","870"
"19210",,"甲斐市","28,870","10,540","9,050","3,890","2,820","1,380"
"19211",,"笛吹市","24,860","8,490","6,940","4,030","2,120","1,040"
"19212",,"上野原市","9,810","3,840","2,300","1,530","1,260","600"
"19213",,"甲州市","11,390","4,620","3,190","1,790","1,190","570"
"19214",,"中央市","12,720","4,560","3,470","1,930","1,090","770"
"19346",,"市川三郷町","5,630","2,190","1,630","670","870","260"
"19368",,"富士川町","5,990","2,430","1,750","760","690","260"
"19384",,"昭和町","8,890","3,380","2,750","1,160","550","700"
"19430",,"富士河口湖町","9,650","3,300","2,880","1,600","890","590"
"20201",,"長野市","146,700","46,480","42,100","25,400","17,160","8,150"
"20202",,"松本市","95,860","33,100","28,660","15,720","10,310","5,000"
"20203",,"上田市","60,670","21,350","17,700","8,510","5,210","2,850"
"20204",,"岡谷市","18,920","5,880","5,730","3,370","2,090","1,110"
"20205",,"飯田市","37,080","12,580","11,430","5,860","3,600","2,410"
"20206",,"諏訪市","19,810","6,540","6,300","3,220","1,960","1,190"
"20207",,"須坂市","18,750","6,550","5,500","3,280","1,960","880"
"20208",,"小諸市","17,020","7,230","5,450","1,930","1,570","580"
"20209",,"伊那市","25,450","8,070","8,840","3,980","2,750","1,140"
"20210",,"駒ケ根市","12,400","4,200","3,750","2,050","1,380","670"
"20211",,"中野市","15,040","5,210","4,580","2,470","1,480","750"
"20212",,"大町市","10,960","4,480","3,130","1,540","1,020","460"
"20213",,"飯山市","7,460","3,260","2,020","1,120","590","370"
"20214",,"茅野市","21,070","7,320","6,980","3,590","2,120","820"
"20215",,"塩尻市","25,430","8,110","7,300","4,940","3,000","1,390"
"20217",,"佐久市","37,750","14,800","11,180","6,530","3,110","1,530"
"20218",,"千曲市","21,130","7,400","6,230","4,050","2,390","1,040"
"20219",,"東御市","10,540","3,740","3,320","1,750","980","410"
"20220",,"安曇野市","33,940","10,220","10,260","5,930","3,930","2,130"
"20321",,"軽井沢町","9,300","3,800","2,870","960","670","690"
"20361",,"下諏訪町","8,070","3,060","2,150","1,410","830","580"
"20362",,"富士見町","5,290","1,990","1,280","1,130","550","290"
"20382",,"辰野町","7,260","2,310","2,330","1,270","750","520"
"20383",,"箕輪町","9,370","2,800","3,270","1,660","900","520"
"20521",,"坂城町","5,150","1,810","1,750","810","440","290"
"21201",,"岐阜市","164,720","60,640","41,730","23,130","16,440","11,470"
"21202",,"大垣市","60,300","19,230","17,530","10,000","6,500","3,540"
"21203",,"高山市","31,900","10,320","10,370","5,420","3,240","1,930"
"21204",,"多治見市","41,820","12,310","12,000","7,180","5,410","3,190"
"21205",,"関市","32,620","12,800","9,020","4,770","3,510","1,560"
"21206",,"中津川市","27,720","9,570","8,290","4,600","3,050","1,330"
"21207",,"美濃市","7,200","2,500","1,820","1,500","810","450"
"21208",,"瑞浪市","13,600","4,720","4,220","2,390","1,300","840"
"21209",,"羽島市","22,560","6,620","6,700","4,130","2,660","1,190"
"21210",,"恵那市","18,430","6,860","4,890","2,970","2,290","1,000"
"21211",,"美濃加茂市","20,180","7,350","5,730","3,160","2,280","1,080"
"21212",,"土岐市","20,910","7,340","5,740","3,500","2,450","1,070"
"21213",,"各務原市","52,990","15,420","15,460","9,710","6,730","3,970"
"21214",,"可児市","34,960","9,310","11,370","6,730","4,280","2,130"
"21215",,"山県市","9,700","3,820","2,660","1,470","1,010","640"
"21216",,"瑞穂市","20,310","6,470","5,990","3,780","2,050","1,050"
"21217",,"飛騨市","8,430","2,690","2,410","1,580","1,130","540"
"21218",,"本巣市","11,080","2,970","3,600","2,170","1,270","710"
"21219",,"郡上市","13,450","4,450","4,030","2,570","1,590","770"
"21220",,"下呂市","11,770","4,360","3,100","2,080","1,290","660"
"21221",,"海津市","11,280","3,170","3,440","2,240","1,480","740"
"21302",,"岐南町","8,880","3,100","2,360","1,490","1,070","710"
"21303",,"笠松町","8,340","3,110","2,180","1,170","880","570"
"21341",,"養老町","9,760","3,490","2,860","1,500","1,040","710"
"21361",,"垂井町","9,260","3,070","2,840","1,560","1,140","610"
"21381",,"神戸町","6,350","1,940","1,930","1,250","680","390"
"21383",,"安八町","4,870","1,330","1,300","720","700","480"
"21401",,"揖斐川町","7,790","2,960","2,190","1,360","670","580"
"21403",,"大野町","8,120","2,180","1,990","1,430","1,070","1,310"
"21404",,"池田町","7,450","1,710","2,420","1,500","1,090","680"
"21421",,"北方町","6,620","2,160","1,940","890","700","480"
"21521",,"御嵩町","6,100","1,920","1,640","1,130","760","470"
"22100",,"静岡市","275,170","87,830","73,140","45,910","31,030","17,120"
"22101",,"葵区","100,180","33,080","27,540","15,890","11,160","6,540"
"22102",,"駿河区","82,660","24,940","21,160","13,830","9,270","5,950"
"22103",,"清水区","92,320","29,820","24,440","16,180","10,600","4,630"
"22130",,"浜松市","304,040","88,940","88,910","52,480","37,970","21,140"
"22131",,"中区","107,970","34,600","30,550","16,840","11,150","7,470"
"22132",,"東区","48,350","13,450","14,580","8,910","6,750","3,480"
"22133",,"西区","38,350","9,660","10,970","7,490","5,460","2,800"
"22134",,"南区","35,790","9,710","10,850","6,500","4,550","2,220"
"22135",,"北区","31,750","8,770","9,180","5,600","4,370","2,640"
"22136",,"浜北区","30,520","7,620","9,820","5,650","4,580","2,070"
"22137",,"天竜区","11,310","5,130","2,960","1,490","1,110","480"
"22203",,"沼津市","79,170","26,380","20,820","12,480","8,940","4,850"
"22205",,"熱海市","18,870","9,310","5,010","1,880","1,650","800"
"22206",,"三島市","46,300","15,810","12,750","6,540","5,380","3,380"
"22207",,"富士宮市","46,830","14,290","14,230","8,360","5,100","3,570"
"22208",,"伊東市","30,980","14,840","8,500","3,390","1,710","720"
"22209",,"島田市","33,650","9,940","10,090","6,240","4,840","2,330"
"22210",,"富士市","91,410","25,800","26,570","17,690","12,300","5,900"
"22211",,"磐田市","57,620","16,060","17,240","11,550","7,310","4,080"
"22212",,"焼津市","49,170","12,550","15,220","9,540","6,270","3,430"
"22213",,"掛川市","39,270","10,080","11,670","7,230","5,560","3,280"
"22214",,"藤枝市","50,830","14,320","15,170","9,950","6,720","3,550"
"22215",,"御殿場市","30,660","7,980","9,290","6,120","4,500","2,250"
"22216",,"袋井市","30,210","7,830","9,750","5,770","4,130","1,780"
"22219",,"下田市","10,380","5,050","3,050","1,200","790","290"
"22220",,"裾野市","18,340","4,500","5,410","3,630","2,690","1,530"
"22221",,"湖西市","21,010","5,360","6,110","4,030","3,020","1,640"
"22222",,"伊豆市","12,280","4,860","3,640","1,890","1,070","550"
"22223",,"御前崎市","11,410","2,790","3,480","2,030","1,600","1,020"
"22224",,"菊川市","15,150","4,160","4,480","3,220","2,110","970"
"22225",,"伊豆の国市","18,660","6,580","5,350","3,170","2,040","960"
"22226",,"牧之原市","14,770","4,360","4,350","2,930","1,800","1,180"
"22325",,"函南町","14,470","4,480","4,310","2,350","2,010","880"
"22341",,"清水町","11,570","3,240","3,610","1,990","1,510","950"
"22342",,"長泉町","13,710","2,700","4,010","2,670","2,160","1,600"
"22344",,"小山町","6,420","1,860","1,870","1,160","890","600"
"22424",,"吉田町","10,010","2,440","3,250","1,650","1,360","840"
"22461",,"森町","6,020","1,790","1,880","1,220","720","420"
"23100",,"名古屋市","1,101,830","357,630","253,870","148,890","108,780","71,620"
"23101",,"千種区","89,840","29,890","16,420","12,310","10,170","8,560"
"23102",,"東区","42,260","12,240","7,750","4,770","3,940","3,590"
"23103",,"北区","81,830","31,200","21,020","11,150","7,130","3,620"
"23104",,"西区","67,870","23,110","17,580","11,020","7,290","3,460"
"23105",,"中村区","74,850","30,190","16,990","7,650","5,110","2,740"
"23106",,"中区","59,050","21,800","15,810","6,650","5,660","3,380"
"23107",,"昭和区","57,390","15,550","8,660","5,020","5,090","5,540"
"23108",,"瑞穂区","51,330","13,070","9,790","6,050","5,070","4,560"
"23109",,"熱田区","30,970","9,050","6,360","4,040","2,880","2,040"
"23110",,"中川区","101,080","37,380","26,080","13,150","7,930","4,380"
"23111",,"港区","64,410","23,770","16,870","9,570","4,960","2,210"
"23112",,"南区","62,620","24,210","14,990","7,800","5,210","3,180"
"23113",,"守山区","68,810","22,330","17,320","10,990","6,910","3,610"
"23114",,"緑区","93,650","22,320","25,060","18,100","12,740","6,890"
"23115",,"名東区","78,030","24,630","18,740","11,550","10,420","7,890"
"23116",,"天白区","77,850","16,880","14,430","9,090","8,240","5,970"
"23201",,"豊橋市","143,360","40,570","36,640","24,310","17,330","9,080"
"23202",,"岡崎市","136,670","33,700","36,230","25,310","20,940","12,150"
"23203",,"一宮市","138,180","43,730","36,980","23,320","15,710","7,710"
"23204",,"瀬戸市","50,090","15,190","13,090","8,270","6,400","3,040"
"23205",,"半田市","46,490","11,480","13,510","8,750","6,030","3,180"
"23206",,"春日井市","118,990","32,070","31,130","20,510","13,500","7,430"
"23207",,"豊川市","63,650","18,470","18,150","12,580","8,630","3,620"
"23208",,"津島市","23,540","7,520","6,470","4,230","2,540","1,460"
"23209",,"碧南市","23,970","5,570","6,600","4,720","3,410","2,500"
"23210",,"刈谷市","56,460","11,820","15,240","11,300","8,430","4,890"
"23211",,"豊田市","151,490","34,620","38,960","29,030","21,980","13,220"
"23212",,"安城市","68,100","16,950","19,530","13,480","9,940","6,120"
"23213",,"西尾市","52,520","11,180","14,430","11,200","8,220","5,330"
"23214",,"蒲郡市","28,920","9,360","7,870","5,040","3,460","1,680"
"23215",,"犬山市","27,400","7,890","6,980","5,140","3,400","1,770"
"23216",,"常滑市","22,420","6,860","7,330","4,090","2,220","1,180"
"23217",,"江南市","37,670","11,970","10,370","6,410","4,160","2,120"
"23219",,"小牧市","56,910","16,780","17,950","9,850","7,080","3,780"
"23220",,"稲沢市","47,240","13,470","13,210","9,240","6,140","3,250"
"23221",,"新城市","16,100","4,870","4,530","3,140","2,140","1,020"
"23222",,"東海市","41,660","11,700","12,940","7,300","6,170","2,460"
"23223",,"大府市","31,340","6,700","7,920","6,270","4,690","2,760"
"23224",,"知多市","30,830","8,250","8,370","6,100","4,580","1,990"
"23225",,"知立市","27,830","7,050","7,220","5,020","4,210","2,560"
"23226",,"尾張旭市","31,750","8,300","9,240","6,270","4,340","2,450"
"23227",,"高浜市","16,320","4,510","4,620","3,030","2,040","1,260"
"23228",,"岩倉市","19,050","5,770","5,510","3,060","1,710","950"
"23229",,"豊明市","27,190","7,690","8,300","4,490","3,280","2,200"
"23230",,"日進市","36,410","8,330","8,840","6,900","5,260","4,040"
"23231",,"田原市","20,630","3,680","6,670","4,050","3,440","2,590"
"23232",,"愛西市","21,070","6,000","5,960","4,130","3,210","1,300"
"23233",,"清須市","25,920","7,330","8,080","4,720","3,100","1,470"
"23234",,"北名古屋市","32,020","9,690","10,070","5,960","3,690","1,850"
"23235",,"弥富市","15,510","3,840","5,260","3,060","1,910","1,080"
"23236",,"みよし市","21,470","4,400","5,680","4,210","3,540","2,670"
"23237",,"あま市","32,090","9,730","10,140","5,330","3,070","1,680"
"23238",,"長久手市","21,660","5,350","4,870","3,410","3,240","1,760"
"23302",,"東郷町","15,300","3,400","4,170","3,040","2,200","1,360"
"23361",,"大口町","7,880","2,000","2,090","1,430","1,050","650"
"23362",,"扶桑町","12,300","3,190","3,140","2,800","1,970","680"
"23424",,"大治町","12,230","4,200","3,610","1,990","1,060","620"
"23425",,"蟹江町","14,500","4,150","4,600","2,630","1,860","930"
"23441",,"阿久比町","9,500","2,150","3,140","1,490","1,520","760"
"23442",,"東浦町","17,940","4,320","4,540","3,380","2,840","1,720"
"23445",,"南知多町","6,650","2,680","1,640","960","630","370"
"23446",,"美浜町","9,510","3,650","1,930","1,410","1,360","610"
"23447",,"武豊町","15,790","5,500","4,560","2,610","1,690","850"
"23501",,"幸田町","13,420","2,650","3,630","3,240","2,150","1,030"
"24201",,"津市","114,530","34,780","27,780","16,660","11,030","7,700"
"24202",,"四日市市","120,210","34,650","33,710","21,790","15,490","8,480"
"24203",,"伊勢市","49,820","18,070","14,640","8,020","4,630","2,240"
"24204",,"松阪市","64,450","24,490","17,040","9,740","7,120","3,130"
"24205",,"桑名市","51,040","14,410","12,480","8,710","6,950","3,720"
"24207",,"鈴鹿市","72,290","20,100","20,360","13,530","9,410","4,710"
"24208",,"名張市","29,990","9,080","8,740","4,960","3,560","1,760"
"24209",,"尾鷲市","8,720","4,610","2,000","980","500","270"
"24210",,"亀山市","19,310","4,730","5,190","3,650","2,400","1,180"
"24211",,"鳥羽市","8,150","4,140","1,830","990","690","430"
"24212",,"熊野市","8,650","5,210","1,790","720","520","220"
"24214",,"いなべ市","14,880","4,080","4,070","3,050","2,050","1,210"
"24215",,"志摩市","20,810","10,560","5,050","2,450","1,230","430"
"24216",,"伊賀市","33,890","11,640","9,490","4,830","3,770","1,990"
"24324",,"東員町","8,600","2,060","2,710","1,590","1,260","810"
"24341",,"菰野町","13,710","3,510","4,030","2,820","1,710","970"
"24441",,"多気町","5,110","2,110","1,520","720","550","210"
"24442",,"明和町","7,160","2,200","2,310","1,300","930","420"
"24461",,"玉城町","5,270","1,690","1,710","920","550","340"
"24543",,"紀北町","7,670","4,020","2,000","800","510","140"
"25201",,"大津市","133,190","42,040","36,570","21,240","17,030","9,370"
"25202",,"彦根市","45,170","15,790","12,890","6,920","4,830","2,860"
"25203",,"長浜市","41,840","13,680","11,900","6,940","4,600","2,860"
"25204",,"近江八幡市","29,080","8,460","8,280","5,040","3,570","1,580"
"25206",,"草津市","60,060","21,280","13,680","9,180","7,100","4,850"
"25207",,"守山市","27,460","6,080","8,080","5,900","4,460","2,290"
"25208",,"栗東市","22,990","4,830","7,450","5,050","3,590","1,470"
"25209",,"甲賀市","30,730","8,540","9,360","6,040","4,190","2,150"
"25210",,"野洲市","17,470","4,170","5,380","3,650","2,580","1,360"
"25211",,"湖南市","20,370","5,620","7,050","3,780","2,330","1,040"
"25212",,"高島市","18,300","7,070","5,730","2,670","1,640","870"
"25213",,"東近江市","38,010","11,000","11,580","6,840","4,250","2,850"
"25214",,"米原市","12,670","3,650","3,860","2,170","1,880","970"
"25383",,"日野町","7,870","2,710","2,230","1,470","980","440"
"25425",,"愛荘町","6,810","1,800","1,940","1,250","760","460"
"26100",,"京都市","694,210","299,410","158,640","79,900","49,860","30,910"
"26101",,"北区","58,390","28,490","10,780","6,330","3,830","3,160"
"26102",,"上京区","42,720","22,970","8,210","3,760","2,370","2,070"
"26103",,"左京区","84,120","38,050","16,370","8,300","6,210","4,880"
"26104",,"中京区","58,570","23,100","13,950","7,970","4,980","3,520"
"26105",,"東山区","21,600","11,470","3,700","1,470","1,040","700"
"26106",,"下京区","46,040","18,760","10,860","5,250","3,280","1,700"
"26107",,"南区","44,560","18,230","11,680","5,590","2,880","1,160"
"26108",,"右京区","91,050","38,030","22,970","11,030","7,330","3,500"
"26109",,"伏見区","125,480","49,890","27,090","14,320","8,270","4,640"
"26110",,"山科区","59,450","26,960","15,660","7,150","3,940","1,840"
"26111",,"西京区","62,240","23,460","17,390","8,720","5,720","3,730"
"26201",,"福知山市","31,620","12,370","9,510","5,070","2,870","1,270"
"26202",,"舞鶴市","34,420","12,730","9,910","4,980","2,740","1,050"
"26203",,"綾部市","13,500","5,840","3,980","1,850","1,130","440"
"26204",,"宇治市","73,720","26,530","21,430","12,110","7,070","3,240"
"26205",,"宮津市","7,730","3,770","2,210","800","580","200"
"26206",,"亀岡市","34,020","12,200","10,020","5,660","3,550","1,450"
"26207",,"城陽市","29,550","10,300","8,890","4,300","2,970","1,270"
"26208",,"向日市","21,220","7,580","5,390","3,380","2,190","1,280"
"26209",,"長岡京市","31,820","9,490","9,460","5,610","4,300","2,280"
"26210",,"八幡市","29,810","11,670","8,300","4,480","2,710","1,430"
"26211",,"京田辺市","29,330","11,120","7,440","4,620","3,280","1,670"
"26212",,"京丹後市","20,660","10,110","5,610","2,510","1,600","630"
"26213",,"南丹市","12,980","6,110","2,790","1,500","1,210","460"
"26214",,"木津川市","25,560","6,750","6,460","4,770","3,580","1,990"
"26303",,"大山崎町","5,740","1,980","1,840","820","800","270"
